ID,Order,Rep,Loc,Cover,Ground,Lure,Motion,Dist
Jaybird,28,1,97,O,B,W,S,9
Jaybird,29,2,97,O,B,B,S,17
Jaybird,30,1,98,O,W,W,S,9
Jaybird,31,2,98,O,W,B,S,9
Jaybird,32,1,99,F,W,B,S,6
Jaybird,33,2,99,F,W,W,S,6
Jaybird,34,1,100,F,B,B,S,8
Jaybird,35,2,100,F,B,W,S,12
Jaybird,36,1,101,O,B,B,S,14
Jaybird,37,2,101,O,B,W,S,20
Jaybird,38,1,102,F,W,W,S,5
Jaybird,39,2,102,F,W,B,S,4
Jaybird,40,1,103,O,W,B,S,8
Jaybird,41,2,103,O,W,W,S,8
Jaybird,42,1,104,O,W,W,S,9
Jaybird,43,2,104,O,W,B,S,10
Jaybird,44,1,105,F,W,B,S,4
Jaybird,45,2,105,F,W,W,S,4
Jaybird,46,1,106,F,W,W,S,6
Jaybird,47,2,106,F,W,B,S,6
Jaybird,48,1,107,O,W,B,S,7
Jaybird,49,2,107,O,W,W,S,8
Jaybird,50,1,108,O,B,B,S,6
Jaybird,51,2,108,O,B,W,S,11
Jaybird,52,1,109,F,B,W,S,7
Jaybird,53,2,109,F,B,B,S,4
Jaybird,54,1,110,F,B,W,S,5
Jaybird,55,2,110,F,B,B,S,4
Jaybird,56,1,111,O,B,W,S,17
Jaybird,57,2,111,O,B,B,S,15
Ruth,1,1,112,F,B,B,S,0
Ruth,2,2,112,F,B,W,S,5
Ruth,3,1,113,F,B,B,S,0
Ruth,4,2,113,F,B,W,S,5
Ruth,5,1,114,O,B,W,S,18
Ruth,6,2,114,O,B,B,S,0
Ruth,7,1,115,F,B,B,S,2
Ruth,8,2,115,F,B,W,S,2
Ruth,9,1,116,O,B,W,S,2
Ruth,10,2,116,O,B,B,S,2
Ruth,11,1,117,O,W,B,S,8
Ruth,12,2,117,O,W,W,S,7
Ruth,13,1,118,F,W,W,S,4
Ruth,14,2,118,F,W,B,S,4
Ruth,15,1,119,O,B,B,S,5
Ruth,16,2,119,O,B,W,S,7
Ruth,17,1,120,F,B,B,S,5
Ruth,18,2,120,F,B,W,S,5
Ruth,19,1,121,F,W,W,S,3
Ruth,20,2,121,F,W,B,S,3
Ruth,21,1,122,O,W,W,S,4
Ruth,22,2,122,O,W,B,S,5
Ruth,23,1,123,F,B,W,S,7
Ruth,24,2,123,F,B,B,S,6
Ruth,25,1,124,O,B,B,S,6
Ruth,26,2,124,O,B,W,S,12
Ruth,27,1,125,O,W,W,S,6
Ruth,28,2,125,O,W,B,S,6
Ruth,29,1,126,F,W,B,S,4
Ruth,30,2,126,F,W,W,S,4
Ruth,31,1,127,F,B,B,S,6
Ruth,32,2,127,F,B,W,S,10
Ruth,33,1,128,O,B,B,S,11
Ruth,34,2,128,O,B,W,S,16
Ruth,35,1,129,F,W,W,S,5
Ruth,36,2,129,F,W,B,S,5
Ruth,37,1,130,O,W,B,S,6
Ruth,38,2,130,O,W,W,S,6
Ruth,39,1,131,O,W,W,S,12
Ruth,40,2,131,O,W,B,S,11
Ruth,41,1,132,F,W,B,S,6
Ruth,42,2,132,F,W,W,S,6
Ruth,43,1,133,F,W,W,S,7
Ruth,44,2,133,F,W,B,S,8
Ruth,45,1,134,O,W,B,S,6
Ruth,46,2,134,O,W,W,S,6
Ruth,47,1,135,O,B,B,S,5
Ruth,48,2,135,O,B,W,S,15
Ruth,49,1,136,F,B,W,S,9
Ruth,50,2,136,F,B,B,S,5
Ruth,51,1,137,F,B,W,S,4
Ruth,52,2,137,F,B,B,S,3
Ruth,53,1,138,O,B,W,S,15
Ruth,54,2,138,O,B,B,S,10
Summit,1,1,139,F,B,B,S,2
Summit,2,2,139,F,B,W,S,3
Summit,3,1,140,O,B,W,S,4
Summit,4,2,140,O,B,B,S,3
Summit,5,1,141,O,W,B,S,4
Summit,6,2,141,O,W,W,S,4
Summit,7,1,142,F,W,W,S,3
Summit,8,2,142,F,W,B,S,4
Summit,9,1,143,O,B,B,S,4
Summit,10,2,143,O,B,W,S,5
Summit,11,1,144,F,B,B,S,3
Summit,12,2,144,F,B,W,S,4
Summit,13,1,145,F,W,W,S,4
Summit,14,2,145,F,W,B,S,4
Summit,15,1,146,O,W,W,S,3
Summit,16,2,146,O,W,B,S,3
Summit,17,1,147,F,B,W,S,5
Summit,18,2,147,F,B,B,S,3
Summit,19,1,148,O,B,B,S,4
Summit,20,2,148,O,B,W,S,7
Summit,21,1,149,O,W,W,S,5
Summit,22,2,149,O,W,B,S,5
Summit,23,1,150,F,W,B,S,4
Summit,24,2,150,F,W,W,S,5
Summit,25,1,151,F,B,B,S,6
Summit,26,2,151,F,B,W,S,8
Summit,27,1,152,O,B,B,S,10
Summit,28,2,152,O,B,W,S,15
Summit,29,1,153,F,W,B,S,5
Summit,30,2,153,F,W,W,S,5
Summit,31,1,154,O,W,W,S,6
Summit,32,2,154,O,W,B,S,6
Summit,33,1,155,O,W,B,S,8
Summit,34,2,155,O,W,W,S,8
Summit,35,1,156,F,W,W,S,6
Summit,36,2,156,F,W,B,S,6
Summit,37,1,157,F,W,B,S,4
Summit,38,2,157,F,W,W,S,4
Summit,39,1,158,O,W,B,S,6
Summit,40,2,158,O,W,W,S,6
Summit,41,1,159,O,B,W,S,15
Summit,42,2,159,O,B,B,S,8
Summit,43,1,160,F,B,W,S,7
Summit,44,2,160,F,B,B,S,3
Summit,45,1,161,F,B,W,S,9
Summit,46,2,161,F,B,B,S,6
Summit,47,1,162,O,B,B,S,7
Summit,48,2,162,O,B,W,S,15
